local_time,scene_frame_timestamp_unix,gaze_x,gaze_y,pupil_diameter_left,pupil_diameter_right,imu_timestamp_unix,quaternion_x,quaternion_y,quaternion_z,quaternion_w,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-12-28T16:32:38.630466,1735390957.917263,662.811279296875,990.0725708007812,4.286412239074707,3.895401954650879,1735390960.0949743,-0.19503480195999146,-0.285836786031723,0.6969167590141296,0.6281434297561646,0.0986328125,-0.6458740234375,0.7620849013328552,-2.838134765625,0.43487548828125,2.6607513427734375
2024-12-28T16:32:38.654882,1735390957.9506075,680.4403076171875,974.5740356445312,4.148266792297363,3.9291632175445557,1735390960.149414,-0.19621342420578003,-0.2864275574684143,0.696266233921051,0.628229022026062,0.11083984375,-0.6468505859375,0.7562255859375,-3.204345703125,3.30352783203125,-0.8792877197265625
2024-12-28T16:32:39.067503,1735390957.9839518,737.66259765625,953.8903198242188,3.885756015777588,3.7693142890930176,1735390960.1805391,-0.19736754894256592,-0.2866230309009552,0.6955917477607727,0.6285257339477539,0.0810546875,-0.6478271484375,0.7601318359375,-3.1452178955078125,4.1599273681640625,-1.1234283447265625
2024-12-28T16:32:39.086264,1735390958.317374,732.785888671875,953.5612182617188,3.9084930419921875,3.7679362297058105,1735390960.3088133,-0.2017953097820282,-0.2852880656719208,0.6921774744987488,0.6314898133277893,0.06396484375,-0.6649169921875,0.7777099013328552,-0.4596710205078125,3.1833648681640625,-3.9920806884765625
2024-12-28T16:32:39.474702,1735390958.350975,767.51708984375,927.88037109375,3.810654401779175,3.992551565170288,1735390960.7710772,-0.20449112355709076,-0.28439128398895264,0.6896116137504578,0.6338300704956055,0.08056640625,-0.6492919921875,0.7542724609375,0.8220672607421875,1.3523101806640625,-2.5272369384765625
2024-12-28T16:32:39.488585,1735390958.3843083,704.569091796875,855.4767456054688,3.8754208087921143,3.652872323989868,1735390960.8844314,-0.202777698636055,-0.28209614753723145,0.6872955560684204,0.637908399105072,0.09033203125,-0.6497802734375,0.7650146484375,3.2634735107421875,1.1081695556640625,-3.3817291259765625
2024-12-28T16:32:41.762300,1735390958.9177973,608.113525390625,456.94720458984375,3.877487897872925,3.7417540550231934,1735390962.7563653,-0.10460715740919113,-0.19663330912590027,0.7020395398139954,0.6764117479324341,0.1142578125,-0.4246826171875,0.9041747450828552,-1.373291015625,0.31280517578125,0.0972747802734375
2024-12-28T16:32:41.811487,1735390958.9511306,609.5888671875,459.8747253417969,3.8471717834472656,3.7272849082946777,1735390962.7769911,-0.1046564131975174,-0.19666652381420135,0.7018591165542603,0.6765816807746887,0.12841796875,-0.4134521484375,0.9129638075828552,-1.251220703125,0.12969970703125,-0.2689361572265625
2024-12-28T16:32:42.091952,1735390958.9844751,618.1890869140625,463.5422668457031,4.35565710067749,3.686633586883545,1735390963.3806844,-0.09694623202085495,-0.20099517703056335,0.6679745316505432,0.7099379897117615,0.1298828125,-0.4114990234375,0.9031981825828552,1.068115234375,0.98419189453125,-9.790420532226562
2024-12-28T16:32:42.117904,1735390959.0178196,624.8900146484375,465.23492431640625,4.194429874420166,3.59224009513855,1735390963.4013383,-0.09645506739616394,-0.2009160816669464,0.6672908663749695,0.710669755935669,0.14208984375,-0.4090576171875,0.8988036513328552,0.152587890625,1.41143798828125,-9.057998657226562
2024-12-28T16:32:42.144478,1735390959.1511862,623.0816650390625,462.8609924316406,4.137587070465088,3.778271198272705,1735390963.6372404,-0.09864240884780884,-0.19951577484607697,0.6649181246757507,0.7129842638969421,0.14990234375,-0.4031982421875,0.8992919325828552,-0.396728515625,1.16729736328125,-0.7572174072265625
2024-12-28T16:32:42.277891,1735390959.1850286,873.6925048828125,629.1212768554688,4.116917133331299,4.0741987228393555,1735390964.2439063,-0.09988150000572205,-0.1959540843963623,0.6844247579574585,0.6951171159744263,0.1435546875,-0.3939208984375,0.8914794325828552,-2.7790069580078125,0.9860992431640625,-1.1844635009765625
2024-12-28T16:32:42.423508,1735390959.2183728,873.6907958984375,629.1456298828125,4.1896071434021,4.027001857757568,1735390964.2594783,-0.10024343430995941,-0.19624261558055878,0.6839475035667419,0.6954533457756042,0.14501953125,-0.4158935248851776,0.8890380263328552,-3.265380859375,0.92315673828125,-2.7713775634765625
2024-12-28T16:32:42.439774,1735390959.3517396,871.4886474609375,625.9735717773438,4.094179630279541,3.9505224227905273,1735390964.3725092,-0.10195162892341614,-0.197700634598732,0.6812147498130798,0.6974714398384094,0.1337890625,-0.3958740234375,0.9110106825828552,-2.899169921875,1.59454345703125,-2.9544830322265625
2024-12-28T16:32:42.787562,1735390959.385084,1022.8251953125,486.4172058105469,3.633580207824707,3.69903564453125,1735390964.5007403,-0.1037798598408699,-0.19810006022453308,0.6817328333854675,0.6965817809104919,0.15185546875,-0.4017333984375,0.8914794325828552,-1.7414093017578125,1.5354156494140625,1.6841888427734375
2024-12-28T16:32:50.106700,1735390962.7860174,597.2392578125,557.2655029296875,4.124151706695557,3.846482753753662,1735390967.0280633,-0.10272271931171417,-0.19017928838729858,0.7310922741889954,0.6471341848373413,0.08154296875,-0.4056396484375,0.9124755263328552,0.1506805419921875,-0.1125335693359375,-0.8792877197265625
2024-12-28T16:33:08.642504,1735390972.3881571,579.177001953125,323.41943359375,4.522740840911865,4.412155628204346,1735390989.9899843,0.15738023817539215,-0.11609339714050293,0.5709944367408752,0.7973199486732483,0.360595703125,0.130859375,0.9273681044578552,2.1038055419921875,1.1692047119140625,4.6749114990234375
